"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","mean.relief","sd.relief","hard.corals","rock","min.length","school.size","Status"
"NA.rock+school.size.by.Status+Status1","rock+school.size.by.Status+Status",65276.6528155711,65400.9852208352,0.10273,NA,18.9,0,1040.402,1036.713,0,0,0,0,0,1,0,1,1
"NA.rock.by.Status+school.size.by.Status+Status1","rock.by.Status+school.size.by.Status+Status",65277.2954755688,65410.7836999116,0.1033,NA,20.37,0,1041.044,1046.512,0,0,0,0,0,1,0,1,1
"NA.hard.corals+school.size+sd.relief1","hard.corals+school.size+sd.relief",65286.8424602673,65412.546784671,0.10044,NA,19.12,0,1050.591,1048.275,0,0,0,1,1,0,0,1,0
"NA.hard.corals+school.size1","hard.corals+school.size",65292.9614464338,65407.9921900896,0.09818,NA,17.41,0,1056.71,1043.72,0,0,0,0,1,0,0,1,0
"NA.school.size+sd.relief1","school.size+sd.relief",65294.4861728163,65409.264547261,0.09783,NA,17.37,0,1058.235,1044.993,0,0,0,1,0,0,0,1,0
"NA.school.size+sd.relief+Status1","school.size+sd.relief+Status",65294.4876266484,65409.1825902784,0.09782,NA,17.36,0,1058.237,1044.911,0,0,0,1,0,0,0,1,1
"NA.school.size.by.Status+sd.relief+Status1","school.size.by.Status+sd.relief+Status",65295.439569651,65419.5284186952,0.09831,NA,18.86,0,1059.188,1055.257,0,0,0,1,0,0,0,1,1
"NA.school.size+Status1","school.size+Status",65304.9143379681,65408.8753326107,0.09455,NA,15.64,0,1068.663,1044.603,0,0,0,0,0,0,0,1,1
"NA.school.size1","school.size",65305.027076648,65409.9563093964,0.09457,NA,15.79,0,1068.776,1045.684,0,0,0,0,0,0,0,1,0
"NA.school.size.by.Status+Status1","school.size.by.Status+Status",65306.0595861718,65419.2578530379,0.09498,NA,17.12,0,1069.808,1054.986,0,0,0,0,0,0,0,1,1
"NA.sd.relief.by.Status+Status1","sd.relief.by.Status+Status",65307.6159196279,65417.2821250283,0.09436,NA,16.55,0,1071.365,1053.01,0,0,0,1,0,0,0,0,1
"NA.mean.relief1","mean.relief",65316.9643117006,65414.416479378,0.09122,NA,14.59,0,1080.713,1050.145,0,0,1,0,0,0,0,0,0
"NA.rock+Status1","rock+Status",65319.3130273905,65421.9066221533,0.0911,NA,15.42,0,1083.062,1057.635,0,0,0,0,0,1,0,0,1
"NA.rock1","rock",65319.5696162965,65423.6914160771,0.09113,NA,15.66,0,1083.318,1059.42,0,0,0,0,0,1,0,0,0
"NA.rock.by.Status+Status1","rock.by.Status+Status",65320.2683591157,65432.0643221616,0.0916,NA,16.89,0,1084.017,1067.792,0,0,0,0,0,1,0,0,1
"NA.hard.corals+sd.relief1","hard.corals+sd.relief",65330.8028241971,65445.2719382181,0.08926,NA,17.32,0,1094.552,1081,0,0,0,1,1,0,0,0,0
"NA.sd.relief1","sd.relief",65336.9356982388,65439.5805117239,0.08692,NA,15.42,0,1100.685,1075.309,0,0,0,1,0,0,0,0,0
"NA.sd.relief+Status1","sd.relief+Status",65336.9381910063,65439.5072274242,0.08691,NA,15.41,0,1100.687,1075.235,0,0,0,1,0,0,0,0,1
"NA.hard.corals1","hard.corals",65337.211357761,65439.9714615495,0.08684,NA,15.44,0,1100.96,1075.7,0,0,0,0,1,0,0,0,0
"NA.Status1","Status",65347.3551869663,65439.1255162348,0.0836,NA,13.68,0,1111.104,1074.854,0,0,0,0,0,0,0,0,1
"NA.null1","null",65347.4472538474,65439.78203013,0.08361,NA,13.77,0,1111.196,1075.51,0,0,0,0,0,0,0,0,0
