Periods

Generated: Wednesday, May 03, 2017 08:12:50

Period	Start filename	Start frame	Start time (mins)	End filename	End frame	End time (mins)	Period length (mins)	OpCode	Tape Reader	Depth	Comment								
3	TiOR1W_L461.avi	  74113	  20.6076	TiOR1W_L461.avi	  81590	  22.6866	   2.0790	TiOR1W	Ellen										
4	TiOR1W_L461.avi	  83807	  23.3030	TiOR1W_L461.avi	  91943	  25.5653	   2.2623	TiOR1W	Ellen										
5	TiOR1W_L461.avi	  96086	  26.7173	TiOR1W_L461.avi	 104799	  29.1400	   2.4227	TiOR1W	Ellen										
6	TiOR1W_L461.avi	 108076	  30.0512	TiOR1W_L461.avi	 116335	  32.3476	   2.2965	TiOR1W	Ellen										
1	TiOL5_L461.avi	  54079	  15.0369	TiOL5_L461.avi	  62656	  17.4218	   2.3849	TiOL5	Ellen										
2	TiOL5_L461.avi	  67760	  18.8410	TiOL5_L461.avi	  75745	  21.0613	   2.2203	TiOL5	Ellen										
3	TiOL5_L461.avi	  80194	  22.2983	TiOL5_L461.avi	  87060	  24.2075	   1.9091	TiOL5	Ellen										
4	TiOL5_L461.avi	  90820	  25.2530	TiOL5_L461.avi	  98701	  27.4443	   2.1914	TiOL5	Ellen										
5	TiOL5_L461.avi	 103684	  28.8299	TiOL5_L461.avi	 110379	  30.6914	   1.8616	TiOL5	Ellen										
6	TiOL5_L461.avi	 114126	  31.7333	TiOL5_L461.avi	 121511	  33.7867	   2.0534	TiOL5	Ellen										
1	MoOR2S_L461.avi	  34987	   9.7283	MoOR2S_L461.avi	  43110	  11.9870	   2.2586	MoOR2S	Ellen										
2	MoOR2S_L461.avi	  45242	  12.5798	MoOR2S_L461.avi	  53037	  14.7472	   2.1674	MoOR2S	Ellen										
3	MoOR2S_L461.avi	  55245	  15.3612	MoOR2S_L461.avi	  62797	  17.4611	   2.0999	MoOR2S	Ellen										
4	MoOR2S_L461.avi	  65227	  18.1367	MoOR2S_L461.avi	  72883	  20.2655	   2.1288	MoOR2S	Ellen										
5	MoOR2S_L461.avi	  74571	  20.7349	MoOR2S_L461.avi	  81683	  22.7124	   1.9775	MoOR2S	Ellen										
