OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
TiOL2E	2	3	TiOL2E_L461.avi	95785	26.63350	TiOL2E_L461.avi	103766	28.85266	1
TiOL2E	3	4	TiOL2E_L461.avi	108906	30.28186	TiOL2E_L461.avi	116734	32.45847	1
TiOL2E	4	5	TiOL2E_L461.avi	150181	41.75858	TiOL2E_L461.avi	157360	43.75473	1
TiOL2E	5	6	TiOL2E_L461.avi	163495	45.46060	TiOL2E_L461.avi	173266	48.17748	1
TiOL3W	0	1	TiOL3W_L461.avi	13903	3.86580	TiOL3W_L461.avi	21860	6.07828	1
TiOL3W	1	2	TiOL3W_L461.avi	25963	7.21914	TiOL3W_L461.avi	34468	9.58400	1
TiOL3W	2	3	TiOL3W_L461.avi	44647	12.41432	TiOL3W_L461.avi	51295	14.26283	1
TiOL3W	3	4	TiOL3W_L461.avi	53693	14.92961	TiOL3W_L461.avi	60698	16.87738	1
TiOL3W	4	5	TiOL3W_L461.avi	63541	17.66789	TiOL3W_L461.avi	71312	19.82866	1
TiOL3W	5	6	TiOL3W_L461.avi	75316	20.94199	TiOL3W_L461.avi	83499	23.21731	1
TiOL4W	0	1	TiOL4W_L461.avi	33524	9.32152	TiOL4W_L461.avi	41601	11.56737	1
TiOL4W	1	2	TiOL4W_L461.avi	44366	12.33619	TiOL4W_L461.avi	52108	14.48889	1
TiOL4W	2	3	TiOL4W_L461.avi	55126	15.32806	TiOL4W_L461.avi	62418	17.35564	1
TiOL4W	3	4	TiOL4W_L461.avi	65880	18.31826	TiOL4W_L461.avi	72801	20.24268	1
TiOL4W	4	5	TiOL4W_L461.avi	76197	21.18696	TiOL4W_L461.avi	84459	23.48425	1
TiOL4W	5	6	TiOL4W_L461.avi	87526	24.33704	TiOL4W_L461.avi	96566	26.85066	1
TiOL5	0	1	TiOL5_L461.avi	54079	15.03694	TiOL5_L461.avi	62656	17.42181	1
TiOL5	1	2	TiOL5_L461.avi	67760	18.84101	TiOL5_L461.avi	75745	21.06128	1
TiOL5	2	3	TiOL5_L461.avi	80194	22.29834	TiOL5_L461.avi	87060	24.20747	1
TiOL5	3	4	TiOL5_L461.avi	90820	25.25296	TiOL5_L461.avi	98701	27.44431	1
TiOL5	4	5	TiOL5_L461.avi	103684	28.82985	TiOL5_L461.avi	110379	30.69143	1
TiOL5	5	6	TiOL5_L461.avi	114126	31.73330	TiOL5_L461.avi	121511	33.78674	1
TiOR1W	0	1	TiOR1W_L461.avi	50137	13.94089	TiOR1W_L461.avi	58398	16.23790	1
TiOR1W	1	2	TiOR1W_L461.avi	62208	17.29730	TiOR1W_L461.avi	70282	19.54232	1
TiOR1W	2	3	TiOR1W_L461.avi	74113	20.60755	TiOR1W_L461.avi	81590	22.68658	1
TiOR1W	3	4	TiOR1W_L461.avi	83807	23.30303	TiOR1W_L461.avi	91943	25.56529	1
TiOR1W	4	5	TiOR1W_L461.avi	96086	26.71727	TiOR1W_L461.avi	104799	29.13997	1
TiOR1W	5	6	TiOR1W_L461.avi	108076	30.05116	TiOR1W_L461.avi	116335	32.34763	1
TiOR2E	0	1	TiOR2E_L461.avi	24743	6.87994	TiOR2E_L461.avi	30628	8.51629	1
TiOR2E	1	2	TiOR2E_L461.avi	35097	9.75893	TiOR2E_L461.avi	41208	11.45812	1
TiOR2E	2	3	TiOR2E_L461.avi	49615	13.79574	TiOR2E_L461.avi	56818	15.79858	1
TiOR2E	3	4	TiOR2E_L461.avi	59827	16.63525	TiOR2E_L461.avi	67368	18.73207	1
TiOR2E	4	5	TiOR2E_L461.avi	70546	19.61573	TiOR2E_L461.avi	78669	21.87437	1
TiOR2E	5	6	TiOR2E_L461.avi	82968	23.06974	TiOR2E_L461.avi	90044	25.03726	1
TiOR3E	0	1	TiOR3E_L461.avi	40740	11.32799	TiOR3E_L461.avi	47263	13.14175	1
TiOR3E	1	2	TiOR3E_L461.avi	50100	13.93060	TiOR3E_L461.avi	57894	16.09776	1
TiOR3E	2	3	TiOR3E_L461.avi	62730	17.44244	TiOR3E_L461.avi	69889	19.43304	1
TiOR3E	3	4	TiOR3E_L461.avi	78780	21.90524	TiOR3E_L461.avi	85582	23.79657	1
TiOR3E	4	5	TiOR3E_L461.avi	89498	24.88544	TiOR3E_L461.avi	95875	26.65860	1
TiOR3E	5	6	TiOR3E_L461.avi	99496	27.66544	TiOR3E_L461.avi	105831	29.42693	1
TiOR4E	0	1	TiOR4E_L461.avi	29996	8.34056	TiOR4E_L461.avi	35858	9.97053	1
TiOR4E	1	2	TiOR4E_L461.avi	38068	10.58503	TiOR4E_L461.avi	44208	12.29229	1
TiOR4E	2	3	TiOR4E_L461.avi	49141	13.66394	TiOR4E_L461.avi	56347	15.66761	1
TiOR4E	3	4	TiOR4E_L461.avi	59037	16.41558	TiOR4E_L461.avi	64086	17.81949	1
TiOR4E	4	5	TiOR4E_L461.avi	66808	18.57635	TiOR4E_L461.avi	74071	20.59587	1
TiOR4E	5	6	TiOR4E_L461.avi	77136	21.44811	TiOR4E_L461.avi	83488	23.21433	1
