FAMILY	GENUS	SPECIES	CAAB CODE			
Tripterygiidae	Ceratobregma		37415903			
Myctophidae	Ceratoscopelus		37122905			
Apogonidae	Cercamia		37327905			
Macrouridae	Cetonurichthys		37232905			
Macrouridae	Cetonurus		37232906			
Cetorhinidae	Cetorhinus		37011901			
Scaridae	Cetoscarus		37386903			
Cetomimidae	Cetostoma		37132901			
Channichthyidae	Chaenodraco		37407901			
Oneirodidae	Chaenophryne		37216901			
Monacanthidae	Chaetodermis		37465917			
Chaetodontidae	Chaetodon		37365905			
Pomacanthidae	Chaetodontoplus		37365906			
Channichthyidae	Champsocephalus		37407902			
Champsodontidae	Champsodon		37401901			
Channidae	Channa		37283750			
